Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,Silent,80.2,74.8,66.6,55.9,81.7,89.1,71.9,74.4,81.1,40.2,37.6,39.4,80.4
1989:Q3,BabyBoom,19.5,24.6,32.8,41.7,18.1,10.9,28,25.2,18.5,58.1,61.3,56.8,19.4
1989:Q3,GenX,0.4,0.6,0.6,2.4,0.2,0,0.1,0.4,0.5,1.7,1.1,3.8,0.2
1989:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1989:Q4,Silent,79.8,74.5,66.5,55.5,81.5,88.4,71.4,74.3,80.4,40,37.5,39,80.9
1989:Q4,BabyBoom,19.7,24.9,32.8,41.9,18.3,11.5,28.4,25.3,19.1,58.1,61.4,56.8,18.8
1989:Q4,GenX,0.4,0.6,0.7,2.6,0.2,0.1,0.2,0.5,0.6,1.9,1.1,4.2,0.3
1989:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q1,Silent,79.8,74.4,66.2,55.5,83.8,88,71.8,74.2,79.8,39.8,37.5,38.7,79.5
1990:Q1,BabyBoom,19.7,24.9,33,41.7,16.2,11.8,28.1,25.3,19.6,58.1,61.2,56.7,20.2
1990:Q1,GenX,0.5,0.7,0.8,2.8,0,0.1,0.1,0.5,0.7,2.1,1.3,4.6,0.3
1990:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q2,Silent,79.7,74.2,66.5,55,83.5,87.5,71.2,74,79.5,39.7,37.5,38.2,79.6
1990:Q2,BabyBoom,19.8,25,32.8,42,16.5,12.3,28.7,25.4,19.7,58,61,56.7,20
1990:Q2,GenX,0.5,0.7,0.7,3,0,0.2,0.1,0.5,0.7,2.3,1.5,5.1,0.4
1990:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q3,Silent,80,74.3,65.9,55.1,90.6,87.2,72.6,73.8,78.9,39.5,37.4,37.7,82.4
1990:Q3,BabyBoom,19.5,24.9,33.3,41.8,9.4,12.5,27.3,25.6,20.2,57.9,61,56.6,17.1
1990:Q3,GenX,0.5,0.8,0.9,3.1,0,0.3,0.1,0.6,0.9,2.6,1.7,5.7,0.4
1990:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q4,Silent,79.4,73.8,65.4,54.9,87.1,86.8,71.9,73.7,78.2,39.1,37,37.2,81
1990:Q4,BabyBoom,19.9,25.3,33.6,41.7,12.9,12.9,28,25.7,20.8,58.2,61.3,56.5,18.5
1990:Q4,GenX,0.6,0.9,1,3.3,0,0.3,0.1,0.7,1,2.7,1.7,6.3,0.5
1990:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q1,Silent,78.8,73.3,65.3,54.4,82.9,86.4,71.1,73.7,77.6,38.7,36.7,36.7,80.5
1991:Q1,BabyBoom,20.5,25.7,33.6,42,17.1,13.2,28.7,25.6,21.3,58.4,61.6,56.5,18.9
1991:Q1,GenX,0.7,1,1.1,3.6,0,0.4,0.2,0.7,1.1,2.8,1.7,6.8,0.6
1991:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q2,Silent,78.8,73.2,65.1,54.1,83.7,85.9,71.1,73.7,77.7,38.5,36.6,36.1,80.8
1991:Q2,BabyBoom,20.4,25.7,33.8,42.1,16.3,13.6,28.7,25.6,21.1,58.4,61.5,56.4,18.6
1991:Q2,GenX,0.8,1.1,1.1,3.9,0,0.5,0.2,0.7,1.2,3.1,1.9,7.5,0.6
1991:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q3,Silent,78.3,72.8,64.5,54.1,82.1,85.5,70.4,73.7,77.4,38.5,36.8,35.6,77.3
1991:Q3,BabyBoom,20.8,26,34.2,41.9,17.9,13.9,29.2,25.6,21.3,58.2,61.1,56.3,22.1
1991:Q3,GenX,0.8,1.2,1.3,4,0,0.6,0.4,0.7,1.3,3.4,2.1,8.1,0.6
1991:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q4,Silent,77.5,72.1,64.1,53.7,77.5,85,69.3,73.8,76.7,38.2,36.7,35,73.7
1991:Q4,BabyBoom,21.6,26.6,34.5,42,21.9,14.3,30,25.4,21.9,58.1,60.9,56.1,25.7
1991:Q4,GenX,1,1.4,1.5,4.3,0.6,0.7,0.7,0.7,1.4,3.7,2.4,8.9,0.6
1991:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q1,Silent,77.5,72.1,63.9,53,78.5,84,70,73.9,77.2,38.4,37.1,34.5,74.9
1992:Q1,BabyBoom,21.6,26.5,34.6,42.3,21.1,15.2,29.5,25.3,21.3,57.5,60.1,56,24.4
1992:Q1,GenX,1,1.4,1.6,4.7,0.4,0.8,0.5,0.8,1.4,4.1,2.8,9.5,0.7
1992:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q2,Silent,77.3,71.9,63.7,52.4,78.9,83.4,69.8,73.9,77.1,38.4,37.3,33.9,72.9
1992:Q2,BabyBoom,21.8,26.7,34.7,42.6,20.8,16,29.7,25.3,21.4,57.2,59.6,55.9,26.4
1992:Q2,GenX,0.9,1.4,1.6,5,0.3,0.6,0.5,0.8,1.5,4.5,3.1,10.2,0.7
1992:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q3,Silent,76.7,71.3,62.8,52.5,77.9,82.9,69,73.8,76.7,38,37,33.2,72.7
1992:Q3,BabyBoom,22.3,27.2,35.4,42.3,21.7,16.7,30.2,25.4,21.6,57.2,59.7,55.7,26.5
1992:Q3,GenX,1,1.5,1.8,5.2,0.4,0.4,0.7,0.8,1.7,4.8,3.3,11.1,0.8
1992:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q4,Silent,75.6,70.3,61.9,52.1,74.7,81.3,66.6,73.6,76.3,37.3,36.3,32.3,73.2
1992:Q4,BabyBoom,23.3,28,36.1,42.3,24.2,18.2,32.4,25.7,21.9,57.3,59.9,55.8,25.9
1992:Q4,GenX,1.1,1.7,2.1,5.6,1,0.5,1,0.8,1.8,5.4,3.8,11.8,0.9
1992:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q1,Silent,75,69.8,62,50.7,74.2,80.5,64.1,72.9,76.3,36.8,35.9,31.7,71.4
1993:Q1,BabyBoom,23.8,28.4,36,42.9,24.7,18.9,34.4,26.3,21.9,57.5,60,56,27.7
1993:Q1,GenX,1.2,1.8,2,6.3,1.1,0.6,1.5,0.8,1.8,5.7,4.2,12.3,1
1993:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q2,Silent,74.5,69.2,61.2,50.5,74.1,79.7,62.5,72.2,76,36.1,35.1,30.9,71.9
1993:Q2,BabyBoom,24.3,28.9,36.6,42.8,24.9,19.6,35.9,26.9,22.1,57.7,60.2,56,27
1993:Q2,GenX,1.2,1.9,2.2,6.8,1.1,0.7,1.6,0.8,1.9,6.2,4.6,13,1.1
1993:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q3,Silent,73.8,68.5,60.4,50.3,73.2,78.8,60.7,71.4,75.8,35.2,34.2,30.1,69.5
1993:Q3,BabyBoom,24.8,29.4,37.3,42.6,25.6,20.4,37.4,27.7,22.2,58.1,60.8,56.1,29.4
1993:Q3,GenX,1.3,2.1,2.3,7.1,1.2,0.8,1.9,0.9,2,6.7,5,13.9,1.1
1993:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q4,Silent,73.2,67.9,59.7,49.7,72.2,78.1,59.7,70.8,75.6,34.4,33.5,29.2,68
1993:Q4,BabyBoom,25.3,29.9,37.8,42.6,26.4,21,38.4,28.3,22.3,58.3,61,56.1,30.9
1993:Q4,GenX,1.4,2.2,2.5,7.7,1.4,0.9,1.9,0.9,2.1,7.2,5.5,14.7,1.2
1993:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q1,Silent,73.1,67.7,59.6,48.7,74,77.3,59,69.9,75.4,33.7,32.8,28.5,68
1994:Q1,BabyBoom,25.5,30.1,37.9,42.9,25.2,21.6,39.2,29.1,22.5,58.6,61.4,56.1,30.7
1994:Q1,GenX,1.4,2.2,2.5,8.4,0.8,1.1,1.8,1,2.1,7.6,5.8,15.4,1.3
1994:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q2,Silent,72.9,67.4,59.1,48.2,75.2,76.6,58,69,75.5,33.1,32.1,27.8,67.9
1994:Q2,BabyBoom,25.7,30.3,38.3,42.9,24.4,22.2,40,29.9,22.4,58.6,61.5,56.1,30.6
1994:Q2,GenX,1.3,2.3,2.6,8.9,0.4,1.2,1.9,1.1,2.1,8.2,6.4,16.2,1.5
1994:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q3,Silent,72.3,66.7,58.1,48,75.2,75.9,56.6,68.2,75.1,32.5,31.5,27,68.4
1994:Q3,BabyBoom,26.3,30.9,39,42.7,24.6,22.8,41.1,30.6,22.7,58.7,61.6,56,29.9
1994:Q3,GenX,1.4,2.5,2.9,9.3,0.3,1.3,2.3,1.2,2.2,8.9,6.9,17,1.7
1994:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q4,Silent,72.1,66.3,57.2,47.6,76.1,75.3,56.7,67.5,74.8,31.8,31,26.2,66.1
1994:Q4,BabyBoom,26.5,31.1,39.6,42.6,23.9,23.2,41.4,31.3,23,58.6,61.5,55.9,32.2
1994:Q4,GenX,1.4,2.6,3.2,9.8,0,1.5,1.8,1.2,2.2,9.6,7.5,17.9,1.7
1994:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q1,Silent,71.2,65.5,56.5,47,74.6,74.5,54.9,66.9,74.2,31.2,30.3,25.6,67.2
1995:Q1,BabyBoom,27.2,31.7,40,42.6,25.2,23.9,42.6,31.9,23.4,58.8,61.8,55.8,30.8
1995:Q1,GenX,1.6,2.8,3.5,10.4,0.2,1.6,2.5,1.3,2.4,10,7.9,18.5,2
1995:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q2,Silent,70.2,64.6,55.2,47.1,73,74,52.9,66.3,73.4,30.5,29.6,25,67
1995:Q2,BabyBoom,28,32.4,40.9,42.3,26.4,24.7,44,32.5,23.9,58.9,62.1,55.7,30.8
1995:Q2,GenX,1.8,3,4,10.6,0.7,1.3,3.1,1.3,2.7,10.5,8.2,19.4,2.2
1995:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q3,Silent,69.5,63.8,54,46.9,71.2,73.6,51,65.5,73.3,29.9,29,24.3,64.5
1995:Q3,BabyBoom,28.5,32.9,41.4,42.1,27.6,25.4,45.1,33.1,24,58.9,62.1,55.5,33.1
1995:Q3,GenX,2,3.3,4.6,11,1.2,1,3.9,1.4,2.7,11.2,8.8,20.2,2.3
1995:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q4,Silent,68.8,63.2,53.7,46.6,69.5,73.2,49.9,64.5,72.6,29.6,28.7,24.2,65.4
1995:Q4,BabyBoom,29.1,33.4,41.6,42.3,28.8,25.8,46,33.9,24.5,58.8,62.4,54.7,31.9
1995:Q4,GenX,2.1,3.4,4.7,11.2,1.7,1,4,1.6,2.9,11.6,9,21.1,2.8
1995:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q1,Silent,68.2,62.7,53.8,46.1,69,72.8,49,63.6,71.6,29.2,28.2,24.2,62.7
1996:Q1,BabyBoom,29.6,33.7,41.5,42.5,29.2,26.2,46.9,34.5,25.2,58.9,62.5,54.1,35
1996:Q1,GenX,2.2,3.6,4.7,11.5,1.8,1.1,4.1,1.9,3.2,11.8,9.2,21.7,2.3
1996:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q2,Silent,67.9,62.4,53.5,46,68.4,72.4,48.5,62.7,71.5,29.1,28,24.1,62.7
1996:Q2,BabyBoom,29.9,34,41.7,42.5,29.6,26.5,47.6,35.2,25.3,58.6,62.3,53.5,34.7
1996:Q2,GenX,2.2,3.6,4.8,11.5,2,1.1,3.9,2.1,3.2,12.4,9.7,22.4,2.6
1996:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q3,Silent,67.6,62,53.2,45.8,68.8,72.2,47.8,61.9,70.9,28.9,27.8,24,63.2
1996:Q3,BabyBoom,30.2,34.3,41.8,42.6,29.4,26.7,48.3,35.8,25.7,58.2,62.1,52.8,34
1996:Q3,GenX,2.2,3.7,5,11.6,1.8,1.1,3.8,2.4,3.4,12.9,10.1,23.1,2.8
1996:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q4,Silent,66.9,61.4,53.1,45.2,68.1,72.1,46.1,60.8,70.1,28.7,27.5,23.9,63.1
1996:Q4,BabyBoom,30.7,34.6,41.7,42.8,29.9,26.7,48.6,36.5,26.4,58,62,52.2,34.3
1996:Q4,GenX,2.4,4,5.2,11.9,2,1.1,5.3,2.8,3.5,13.4,10.5,23.9,2.6
1996:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q1,Silent,66.5,61.1,52.9,44.8,68.4,71.9,46,59.7,69.4,28.6,27.3,23.9,62
1997:Q1,BabyBoom,31,34.8,41.7,43,29.8,27,49.3,37.1,26.8,57.8,61.9,51.7,35.1
1997:Q1,GenX,2.5,4.1,5.4,12.2,1.8,1.1,4.7,3.2,3.8,13.6,10.8,24.3,2.8
1997:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q2,Silent,65.3,60.1,52.5,44.8,65.2,71.5,43.1,58.7,69,28.4,27.1,23.9,60.8
1997:Q2,BabyBoom,31.8,35.4,41.8,43.1,31.6,27.4,50.5,37.7,27.1,57.6,61.7,51.2,36.4
1997:Q2,GenX,3,4.5,5.7,12.1,3.2,1.2,6.4,3.5,3.9,14,11.2,24.9,2.9
1997:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q3,Silent,64.4,59.3,52,44.7,63.9,71.1,41.1,57.8,68.5,28.1,26.8,23.8,60
1997:Q3,BabyBoom,32.3,35.8,42,43.1,32.4,27.7,51.4,38.3,27.3,57.3,61.4,50.7,37.6
1997:Q3,GenX,3.3,4.8,6,12.2,3.7,1.2,7.5,3.9,4.1,14.5,11.7,25.6,2.4
1997:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q4,Silent,64,59,51.8,44.1,63.7,71,41.4,56.7,67.7,28.1,26.8,23.7,59.4
1997:Q4,BabyBoom,32.7,36.1,41.9,43.4,32.5,27.8,51.8,38.9,27.9,56.9,61,50.1,37.9
1997:Q4,GenX,3.3,5,6.2,12.5,3.8,1.2,6.9,4.4,4.3,15.1,12.2,26.2,2.7
1997:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q1,Silent,62.6,57.9,51.3,43.9,61.5,70.3,39,56,67.1,28,26.7,23.7,58.6
1998:Q1,BabyBoom,33.5,36.7,42.1,43.5,33.8,28.4,52.6,39.4,28.4,56.5,60.6,49.8,38.7
1998:Q1,GenX,3.8,5.4,6.5,12.5,4.8,1.2,8.5,4.6,4.5,15.5,12.8,26.5,2.8
1998:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q2,Silent,62.2,57.5,50.9,43.6,61.3,69.2,38.7,55.1,66.9,27.7,26.4,23.5,58
1998:Q2,BabyBoom,34,37,42.3,43.7,33.9,29.3,53.3,39.9,28.6,56.3,60.4,49.3,39.3
1998:Q2,GenX,3.9,5.5,6.8,12.6,4.8,1.4,8,5,4.5,15.9,13.2,27.2,2.7
1998:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q3,Silent,62.3,57.5,49.6,44,64,68.4,41,54.3,65.8,27.5,26.1,23.4,58.8
1998:Q3,BabyBoom,34.2,37.3,43.1,43.6,32.5,29.9,53.9,40.4,29.5,56.1,60.2,48.9,38.4
1998:Q3,GenX,3.4,5.3,7.4,12.4,3.5,1.6,5,5.3,4.6,16.4,13.7,27.7,2.8
1998:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q4,Silent,60.5,55.9,49.5,42.9,60.2,66.6,37.2,54.3,64.6,26.9,25.4,22.7,59.4
1998:Q4,BabyBoom,35.2,38.1,42.8,44.1,34.5,31.8,54.3,40.5,30.3,56.2,60.3,49.2,37.5
1998:Q4,GenX,4.3,6,7.7,13,5.3,1.7,8.5,5.2,5.1,17,14.3,28.2,3.1
1998:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1999:Q1,Silent,59.8,55.2,48.7,42.5,59.8,65.1,36.2,54.4,64.4,26.3,24.7,22,60.1
1999:Q1,BabyBoom,35.7,38.5,43.1,44.3,34.8,33.3,54.7,40.6,30.4,56.4,60.6,49.6,36.6
1999:Q1,GenX,4.5,6.3,8.2,13.3,5.4,1.7,9.1,5,5.2,17.3,14.7,28.4,3.3
1999:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1999:Q2,Silent,58.8,54.3,48.3,41.6,58.2,63.5,34.7,54.2,64.3,25.6,24,21.3,58.2
1999:Q2,BabyBoom,36.3,39.1,43.2,44.6,35.7,34.9,55.2,40.7,30.5,56.7,60.8,49.9,38.5
1999:Q2,GenX,4.8,6.6,8.4,13.8,6.1,1.7,10.1,5.1,5.3,17.7,15.2,28.8,3.3
1999:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1999:Q3,Silent,58.5,53.8,47.5,41.2,58.4,62.1,35.3,53.7,63.6,25,23.4,20.6,59.2
1999:Q3,BabyBoom,36.8,39.6,43.6,44.8,35.7,36.2,55.6,41,31,56.7,60.7,50.2,37.5
1999:Q3,GenX,4.8,6.6,9,14,5.9,1.7,9.2,5.3,5.4,18.3,15.9,29.2,3.3
1999:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1999:Q4,Silent,56.6,52.2,47,40.4,55.7,60.3,32.6,53.6,61.5,24.5,23,19.9,55.6
1999:Q4,BabyBoom,37.9,40.5,43.7,45.1,37.1,37.9,56.2,41.1,32.6,56.6,60.3,50.6,41.4
1999:Q4,GenX,5.5,7.3,9.4,14.5,7.3,1.7,11.2,5.3,5.9,18.9,16.8,29.5,3
1999:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
2000:Q1,Silent,55.6,51.4,46.4,39.9,54.7,58.9,31.5,53.6,60.6,24.1,22.6,19.3,53.1
2000:Q1,BabyBoom,38.6,41,44,45.3,37.6,39.4,56.6,41.3,33.1,56.5,59.7,51.1,44.2
2000:Q1,GenX,5.8,7.6,9.6,14.9,7.7,1.7,11.9,5.1,6.2,19.4,17.7,29.6,2.8
2000:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
2000:Q2,Silent,55.2,50.9,45.7,39.2,54.9,57.6,31.5,53.1,60.7,23.6,22.1,18.7,55.7
2000:Q2,BabyBoom,39,41.4,44.3,45.5,37.6,40.6,57.1,41.5,33,56.3,59.5,51.4,41.1
2000:Q2,GenX,5.7,7.7,10,15.3,7.5,1.8,11.5,5.3,6.3,20.1,18.4,30,3.1
2000:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
2000:Q3,Silent,54.5,50.2,44.7,39,54.6,56.3,30.9,52.7,60.2,23,21.5,18,56.1
2000:Q3,BabyBoom,39.6,41.9,44.8,45.6,37.8,42,57.6,41.8,33.3,56.1,59.2,51.7,40.8
2000:Q3,GenX,5.8,7.9,10.4,15.4,7.6,1.8,11.5,5.6,6.5,20.8,19.2,30.3,3.1
2000:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
2000:Q4,Silent,54.5,49.9,44.4,38.1,55.8,55.2,31.6,52.4,59.1,22.5,21,17.3,61.4
2000:Q4,BabyBoom,40,42.3,45,45.9,37.4,43,58.1,41.9,34.2,55.9,59.3,51.9,34.5
2000:Q4,GenX,5.5,7.8,10.6,16,6.8,1.8,10.3,5.6,6.6,21.5,19.7,30.8,4.1
2000:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
2001:Q1,Silent,54.2,49.6,43.9,37.5,56.9,54,32.9,52.3,58.2,22.1,20.5,16.8,67.2
2001:Q1,BabyBoom,40.5,42.7,45.4,46.1,37,44.3,59.1,42.1,34.5,55.9,59.3,52.2,28.3
2001:Q1,GenX,5.3,7.7,10.7,16.4,6.1,1.8,8,5.6,7.4,22,20.2,31,4.4
2001:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
2001:Q2,Silent,53.4,48.9,43.3,37.1,55.5,52.9,31.8,52,57.8,21.5,19.8,16.2,67.8
2001:Q2,BabyBoom,40.9,43.1,45.7,46.3,37.7,45.2,59.3,42.3,34.6,56.1,59.5,52.4,27.8
2001:Q2,GenX,5.6,8,11,16.6,6.8,1.9,8.9,5.7,7.6,22.4,20.7,31.3,4.4
2001:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
2001:Q3,Silent,53.5,48.6,42.4,36.7,57.4,52.1,33.2,51.8,56.9,21,19.4,15.6,60.3
2001:Q3,BabyBoom,41.3,43.5,46.2,46.3,37,45.9,60.5,42.4,35.4,55.8,58.6,52.6,35.8
2001:Q3,GenX,5.2,7.9,11.4,16.8,5.6,2,6.3,5.7,7.6,23,21.8,31.4,3.8
