Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,Silent,74.8,64.3,66.6,55.9,81.1,82.3,85.4,83.5,85.2,73.7,94.6,96.8,91.6,81.7,60.9,83.3,66.4,89.1,74.4,61.2,40.2,40.1,37.6,39.4,51.9,83.6,60.6,80.2,48553376
1989:Q3,BabyBoom,24.6,34.7,32.8,41.7,18.6,17.3,14.4,16,14.3,26.1,5.4,3.2,8.4,18.1,38.3,16.7,33.4,10.9,25.2,37.5,58.1,58.2,61.3,56.8,47.9,16.2,38.6,19.5,39289625
1989:Q3,GenX,0.6,1,0.6,2.4,0.3,0.4,0.1,0.5,0.5,0.2,0,0,0,0.2,0.8,0,0.2,0,0.4,1.3,1.7,1.7,1.1,3.8,0.2,0.2,0.8,0.4,5177100
1989:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989:Q4,Silent,74.5,64.1,66.5,55.5,80.6,81.4,83.5,83.4,85,74.3,93.4,94.4,91.9,81.5,60.8,82.4,66.1,88.4,74.3,61,40,39.9,37.5,39,52.4,84.3,60.2,79.8,48581895
1989:Q4,BabyBoom,24.9,34.8,32.8,41.9,19.1,18,16.3,16.1,14.4,25.4,6.6,5.6,8.1,18.3,38.2,17.5,33.6,11.5,25.3,37.6,58.1,58.2,61.4,56.8,47.4,15.5,38.6,19.7,39314788
1989:Q4,GenX,0.6,1.1,0.7,2.6,0.4,0.6,0.2,0.5,0.6,0.3,0,0,0,0.2,1,0.1,0.3,0.1,0.5,1.5,1.9,1.9,1.1,4.2,0.2,0.2,1.2,0.4,5366102
1989:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q1,Silent,74.4,63.9,66.2,55.5,80.6,81.1,80.8,83.3,84.9,74.5,89.8,88.4,92.2,83.8,60.8,81.5,67,88,74.2,60.7,39.8,39.7,37.5,38.7,52.8,82.7,60.4,79.8,48563739
1990:Q1,BabyBoom,24.9,34.9,33,41.7,19,18.2,18.8,16.1,14.5,25.1,10.2,11.6,7.8,16.2,38.1,18.4,32.9,11.8,25.3,37.7,58.1,58.2,61.2,56.7,46.8,17,38.4,19.7,39352975
1990:Q1,GenX,0.7,1.2,0.8,2.8,0.4,0.7,0.4,0.6,0.6,0.4,0,0,0,0,1.1,0.1,0.1,0.1,0.5,1.7,2.1,2.1,1.3,4.6,0.3,0.2,1.2,0.5,5588046
1990:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q2,Silent,74.2,63.9,66.5,55,80.3,80.7,81.4,83,84.4,75,90,88.6,92.4,83.5,60.7,78.3,67.6,87.5,74,60.4,39.7,39.6,37.5,38.2,53.2,82.6,60.4,79.7,48501343
1990:Q2,BabyBoom,25,34.8,32.8,42,19.3,18.5,18.4,16.4,15,24.4,10,11.4,7.6,16.5,38,21.4,32.4,12.3,25.4,37.8,58,58,61,56.7,46.4,17.1,38.3,19.8,39403449
1990:Q2,GenX,0.7,1.2,0.7,3,0.4,0.8,0.2,0.6,0.6,0.5,0,0,0,0,1.2,0.3,0,0.2,0.5,1.8,2.3,2.3,1.5,5.1,0.4,0.2,1.3,0.5,5841384
1990:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q3,Silent,74.3,63.5,65.9,55.1,80.8,80.1,79.1,82.6,83.8,75.3,89.7,88,92.6,90.6,60.7,79.3,68.9,87.2,73.8,60.1,39.5,39.4,37.4,37.7,53.5,85.5,60.3,80,48397139
1990:Q3,BabyBoom,24.9,35.1,33.3,41.8,18.7,18.9,20.5,16.8,15.6,24,10.3,12,7.4,9.4,37.9,20.5,31.1,12.5,25.6,38,57.9,58,61,56.6,46,14.2,38.2,19.5,39465470
1990:Q3,GenX,0.8,1.4,0.9,3.1,0.5,0.9,0.4,0.6,0.6,0.6,0,0,0,0,1.4,0.2,0,0.3,0.6,1.9,2.6,2.6,1.7,5.7,0.5,0.3,1.5,0.5,6124564
1990:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q4,Silent,73.8,63.1,65.4,54.9,80.1,79.2,78,82.3,83.3,76.9,87.2,84.3,92.8,87.1,60.6,78.5,68.4,86.8,73.7,59.7,39.1,39,37,37.2,54,83.9,59.8,79.4,48253561
1990:Q4,BabyBoom,25.3,35.4,33.6,41.7,19.4,19.6,21.5,17,16,22.3,12.8,15.7,7.2,12.9,37.9,21.2,31.6,12.9,25.7,38.2,58.2,58.3,61.3,56.5,45.4,15.7,38.3,19.9,39538300
1990:Q4,GenX,0.9,1.5,1,3.3,0.6,1.1,0.5,0.7,0.7,0.8,0,0,0,0,1.6,0.3,0,0.3,0.7,2.1,2.7,2.7,1.7,6.3,0.6,0.3,1.9,0.6,6436036
1990:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q1,Silent,73.3,62.9,65.3,54.4,79.3,78.7,74.7,82.4,83.4,77.7,87,83.9,92.9,82.9,60.5,79,67.1,86.4,73.7,59.4,38.7,38.6,36.7,36.7,54.5,83.6,59.8,78.8,48073044
1991:Q1,BabyBoom,25.7,35.5,33.6,42,20.1,20,24.5,16.7,15.8,21.4,13,16.1,7.1,17.1,37.8,20.8,32.7,13.2,25.6,38.4,58.4,58.5,61.6,56.5,44.6,16,38.2,20.5,39621201
1991:Q1,GenX,1,1.7,1.1,3.6,0.7,1.3,0.8,0.8,0.8,0.9,0,0,0,0,1.7,0.2,0.2,0.4,0.7,2.3,2.8,2.8,1.7,6.8,0.8,0.4,2,0.7,6774249
1991:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q2,Silent,73.2,62.6,65.1,54.1,79.3,78.9,75.2,82.1,82.9,78.4,88,85.3,93.1,83.7,60.2,78.6,67.3,85.9,73.7,59,38.5,38.4,36.6,36.1,54.9,83.4,59.7,78.8,47858021
1991:Q2,BabyBoom,25.7,35.6,33.8,42.1,20,19.8,24.1,17,16.2,20.5,12,14.7,6.9,16.3,37.9,21.2,32.6,13.6,25.6,38.6,58.4,58.5,61.5,56.4,44.2,16.2,38.2,20.4,39713433
1991:Q2,GenX,1.1,1.8,1.1,3.9,0.7,1.4,0.7,0.9,0.9,1.1,0,0,0,0,1.9,0.2,0.1,0.5,0.7,2.4,3.1,3.1,1.9,7.5,0.9,0.4,2.1,0.8,7137654
1991:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q3,Silent,72.8,62.2,64.5,54.1,78.8,78.6,74.8,81.7,82.4,78.2,86.9,83.7,93.2,82.1,60.1,78.5,66.4,85.5,73.7,58.5,38.5,38.4,36.8,35.6,55.4,79.2,59.7,78.3,47610924
1991:Q3,BabyBoom,26,35.9,34.2,41.9,20.4,19.9,24.6,17.3,16.7,20.4,13.1,16.3,6.8,17.9,37.8,21.3,33.2,13.9,25.6,38.8,58.2,58.2,61.1,56.3,43.4,20.3,38.1,20.8,39814258
1991:Q3,GenX,1.2,1.9,1.3,4,0.8,1.5,0.6,1,0.9,1.4,0,0,0,0,2.1,0.2,0.4,0.6,0.7,2.6,3.4,3.4,2.1,8.1,1.1,0.4,2.2,0.8,7524699
1991:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q4,Silent,72.1,61.7,64.1,53.7,77.8,78,74,81.5,82.1,78.5,83.5,79.1,93.2,77.5,59.8,78.2,65.1,85,73.8,58.1,38.2,38.1,36.7,35,56,75.3,59.6,77.5,47334189
1991:Q4,BabyBoom,26.6,36.2,34.5,42,21.3,20.3,25.4,17.4,16.9,19.9,16.5,20.9,6.8,21.9,37.8,21.6,34,14.3,25.4,39.1,58.1,58.2,60.9,56.1,42.5,24.3,38.1,21.6,39922939
1991:Q4,GenX,1.4,2.1,1.5,4.3,0.9,1.7,0.6,1.1,1,1.6,0,0,0,0.6,2.3,0.3,0.9,0.7,0.7,2.9,3.7,3.7,2.4,8.9,1.5,0.4,2.3,1,7933834
1991:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q1,Silent,72.1,61.4,63.9,53,78,79.4,72.2,81.1,81.4,79.2,86.5,83.3,93.2,78.5,59.6,78.5,65.8,84,73.9,57.6,38.4,38.3,37.1,34.5,56.7,76.7,59.4,77.5,47030249
1992:Q1,BabyBoom,26.5,36.3,34.6,42.3,21.1,19.1,27,17.7,17.5,18.9,13.5,16.7,6.8,21.1,37.9,21.2,33.5,15.2,25.3,39.3,57.5,57.6,60.1,56,41.5,22.9,38.1,21.6,40038735
1992:Q1,GenX,1.4,2.3,1.6,4.7,0.9,1.5,0.8,1.2,1.1,1.9,0,0,0,0.4,2.6,0.2,0.6,0.8,0.8,3.1,4.1,4.1,2.8,9.5,1.8,0.5,2.6,1,8363508
1992:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q2,Silent,71.9,61.2,63.7,52.4,77.9,79.3,72.5,81,81.2,79.6,86,82.7,93.2,78.9,59.4,77.8,65.8,83.4,73.9,57.1,38.4,38.3,37.3,33.9,57.4,74.4,59.1,77.3,46701537
1992:Q2,BabyBoom,26.7,36.4,34.7,42.6,21.3,19.1,26.9,17.7,17.6,18.1,14,17.3,6.8,20.8,37.8,21.9,33.6,16,25.3,39.5,57.2,57.2,59.6,55.9,40.4,25.1,38.1,21.8,40160909
1992:Q2,GenX,1.4,2.4,1.6,5,0.9,1.6,0.6,1.4,1.2,2.2,0,0,0,0.3,2.8,0.3,0.6,0.6,0.8,3.4,4.5,4.5,3.1,10.2,2.2,0.5,2.8,0.9,8812171
1992:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q3,Silent,71.3,60.5,62.8,52.5,77.3,78.9,72.2,80.4,80.5,79.6,86.5,83.6,93,77.9,59,77.5,65,82.9,73.8,56.6,38,37.9,37,33.2,58.2,74.2,58.8,76.7,46350486
1992:Q3,BabyBoom,27.2,36.9,35.4,42.3,21.7,19.3,27.3,18.1,18.2,17.7,13.5,16.4,6.8,21.7,38,22.3,34.1,16.7,25.4,39.8,57.2,57.3,59.7,55.7,39.2,25.3,38.2,22.3,40288723
1992:Q3,GenX,1.5,2.6,1.8,5.2,0.9,1.8,0.5,1.5,1.3,2.7,0,0,0.1,0.4,3.1,0.3,1,0.4,0.8,3.6,4.8,4.9,3.3,11.1,2.6,0.6,3.1,1,9278273
1992:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q4,Silent,70.3,59.7,61.9,52.1,76,77.9,74.3,80.5,80.7,79.1,87.3,85.2,92,74.7,57.9,74.3,62.9,81.3,73.6,55.9,37.3,37.2,36.3,32.3,56.6,74.8,57.8,75.6,45979805
1992:Q4,BabyBoom,28,37.4,36.1,42.3,22.9,20.1,25.5,18,18,18.2,12.7,14.7,7.8,24.2,38.6,25.2,35.9,18.2,25.7,40.2,57.3,57.4,59.9,55.8,40.4,24.5,38.8,23.3,40421283
1992:Q4,GenX,1.7,2.8,2.1,5.6,1.1,2,0.2,1.5,1.3,2.7,0.1,0,0.1,1,3.5,0.5,1.3,0.5,0.8,4,5.4,5.4,3.8,11.8,3,0.6,3.5,1.1,9760183
1992:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q1,Silent,69.8,59.5,62,50.7,75.4,78.3,74.8,80.7,80.9,79.7,85,82.6,91,74.2,56.8,72.6,60.1,80.5,72.9,55.2,36.8,36.7,35.9,31.7,55,73,56.7,75,45593293
1993:Q1,BabyBoom,28.4,37.5,36,42.9,23.4,19.8,24.9,17.8,17.8,17.8,15,17.4,8.9,24.7,39.2,26.9,38,18.9,26.3,40.6,57.5,57.5,60,56,41.5,26.3,39.4,23.8,40557081
1993:Q1,GenX,1.8,3,2,6.3,1.2,1.9,0.3,1.5,1.3,2.5,0,0,0.1,1.1,3.9,0.6,2,0.6,0.8,4.3,5.7,5.7,4.2,12.3,3.5,0.6,3.9,1.2,10255951
1993:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q2,Silent,69.2,58.8,61.2,50.5,74.8,77.9,76.6,81.1,81.4,79.9,83.3,80.9,89.9,74.1,55.8,70.9,58.5,79.7,72.2,54.5,36.1,36,35.1,30.9,53.3,73.7,55.6,74.5,45195024
1993:Q2,BabyBoom,28.9,38,36.6,42.8,24,20.2,23.4,17.3,17.2,17.8,16.7,19.1,10,24.9,39.9,28.5,39.3,19.6,26.9,41,57.7,57.7,60.2,56,42.7,25.5,40,24.3,40694454
1993:Q2,GenX,1.9,3.2,2.2,6.8,1.2,2,0,1.6,1.4,2.3,0,0,0.1,1.1,4.4,0.6,2.1,0.7,0.8,4.6,6.2,6.2,4.6,13,3.9,0.7,4.3,1.2,10763548
1993:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q3,Silent,68.5,58.1,60.4,50.3,74,77.2,78,81.3,81.7,80.1,84.8,83.4,88.7,73.2,54.7,68.7,56.9,78.8,71.4,53.7,35.2,35.1,34.2,30.1,51.7,71.1,54.6,73.8,44789070
1993:Q3,BabyBoom,29.4,38.5,37.3,42.6,24.6,20.7,22,17.1,16.9,17.8,15.1,16.6,11.2,25.6,40.5,30.5,40.7,20.4,27.7,41.3,58.1,58.2,60.8,56.1,43.9,28.1,40.6,24.8,40831741
1993:Q3,GenX,2.1,3.4,2.3,7.1,1.4,2.1,0,1.6,1.5,2.1,0,0,0.1,1.2,4.9,0.8,2.4,0.8,0.9,4.9,6.7,6.7,5,13.9,4.4,0.7,4.8,1.3,11280946
1993:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q4,Silent,67.9,57.5,59.7,49.7,73.4,76.8,78.5,81.5,81.7,81,85.1,84.3,87.5,72.2,53.6,67.9,55.8,78.1,70.8,53,34.4,34.4,33.5,29.2,50,69.6,53.5,73.2,44379506
1993:Q4,BabyBoom,29.9,38.9,37.8,42.6,25.1,21,21.5,16.9,16.8,17.2,14.8,15.6,12.4,26.4,41.1,31.3,41.8,21,28.3,41.7,58.3,58.4,61,56.1,45.1,29.7,41.2,25.3,40967279
1993:Q4,GenX,2.2,3.7,2.5,7.7,1.5,2.2,0,1.6,1.5,1.9,0,0,0.1,1.4,5.4,0.8,2.5,0.9,0.9,5.3,7.2,7.3,5.5,14.7,4.9,0.7,5.3,1.4,11806113
1993:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q1,Silent,67.7,57.2,59.6,48.7,73.3,76.6,78.6,81.1,81.1,81,85.4,85.1,86.3,74,52.6,67.3,55,77.3,69.9,52.3,33.7,33.7,32.8,28.5,48.4,69.9,52.4,73.1,43970405
1994:Q1,BabyBoom,30.1,39,37.9,42.9,25.3,21.2,21.4,17.6,17.6,17.3,14.6,14.9,13.7,25.2,41.5,32,42.7,21.6,29.1,42.1,58.6,58.7,61.4,56.1,46.1,29.3,41.8,25.5,41099405
1994:Q1,GenX,2.2,3.8,2.5,8.4,1.4,2.2,0,1.3,1.2,1.7,0.1,0.1,0.1,0.8,5.8,0.7,2.3,1.1,1,5.6,7.6,7.6,5.8,15.4,5.5,0.8,5.8,1.4,12337021
1994:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q2,Silent,67.4,56.7,59.1,48.2,73.1,76.8,80.2,80.8,80.7,81.1,86.6,87.1,84.9,75.2,51.7,67.4,53.7,76.6,69,51.5,33.1,33,32.1,27.8,46.8,70.1,51.3,72.9,43565840
1994:Q2,BabyBoom,30.3,39.3,38.3,42.9,25.5,21.1,19.8,18,18.2,17.4,13.3,12.7,15,24.4,42,32,43.8,22.2,29.9,42.5,58.6,58.7,61.5,56.1,47,29,42.3,25.7,41226457
1994:Q2,GenX,2.3,4,2.6,8.9,1.4,2.1,0,1.2,1.1,1.5,0.1,0.1,0,0.4,6.3,0.6,2.5,1.2,1.1,6,8.2,8.2,6.4,16.2,6.2,0.9,6.3,1.3,12871640
1994:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q3,Silent,66.7,55.8,58.1,48,72.5,76.2,80.6,80.7,80.7,80.9,87.4,88.6,83.6,75.2,50.4,66.7,52,75.9,68.2,50.8,32.5,32.4,31.5,27,45.1,70.9,50.3,72.3,43169886
1994:Q3,BabyBoom,30.9,39.8,39,42.7,26,21.7,19.4,18.2,18.4,17.8,12.5,11.2,16.4,24.6,42.6,32.8,44.9,22.8,30.6,42.8,58.7,58.7,61.6,56,48,28.1,42.9,26.3,41346772
1994:Q3,GenX,2.5,4.3,2.9,9.3,1.5,2.2,0,1.1,1,1.3,0.1,0.2,0,0.3,6.9,0.5,3.1,1.3,1.2,6.4,8.9,8.9,6.9,17,6.8,1,6.9,1.4,13407942
1994:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q4,Silent,66.3,55,57.2,47.6,72.4,75.6,80.1,80.4,80.1,81.4,87.9,89.8,82.1,76.1,49.5,67.3,51.9,75.3,67.5,50.1,31.8,31.7,31,26.2,43.6,68.6,49.2,72.1,42786615
1994:Q4,BabyBoom,31.1,40.3,39.6,42.6,26.2,22.1,19.8,18.8,19.2,17.5,11.9,10,17.9,23.9,43,32.4,45.6,23.2,31.3,43.1,58.6,58.7,61.5,55.9,48.8,30.4,43.4,26.5,41458689
1994:Q4,GenX,2.6,4.7,3.2,9.8,1.4,2.3,0.1,0.8,0.7,1.1,0.2,0.2,0,0,7.4,0.3,2.6,1.5,1.2,6.7,9.6,9.6,7.5,17.9,7.6,1,7.4,1.4,13943896
1994:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q1,Silent,65.5,54.3,56.5,47,71.4,74.7,79.5,80.8,80.6,81.3,88.1,90.3,80.6,74.6,48.5,66.2,49.9,74.5,66.9,49.5,31.2,31.2,30.3,25.6,42,70.3,48.1,71.2,42420100
1995:Q1,BabyBoom,31.7,40.6,40,42.6,27,22.8,20.1,18.4,18.6,17.8,11.7,9.4,19.4,25.2,43.4,33.5,46.7,23.9,31.9,43.3,58.8,58.8,61.8,55.8,49.6,28.6,43.8,27.2,41560544
1995:Q1,GenX,2.8,5,3.5,10.4,1.6,2.5,0.3,0.8,0.8,0.9,0.2,0.2,0,0.2,8,0.3,3.4,1.6,1.3,7.2,10,10,7.9,18.5,8.4,1.1,8,1.6,14477472
1995:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q2,Silent,64.6,53.3,55.2,47.1,70.5,73.5,78.3,80.9,81,80.7,88.5,91.3,79.1,73,47.5,63.7,48.2,74,66.3,48.9,30.5,30.5,29.6,25,40.5,70.5,47.1,70.2,42074416
1995:Q2,BabyBoom,32.4,41.2,40.9,42.3,27.8,23.7,20.9,18.3,18.2,18.7,11.2,8.4,20.9,26.4,43.9,35.7,47.7,24.7,32.5,43.5,58.9,59,62.1,55.7,50.3,28.3,44.2,28,41650675
1995:Q2,GenX,3,5.5,4,10.6,1.7,2.8,0.8,0.8,0.8,0.6,0.2,0.3,0,0.7,8.6,0.6,4.2,1.3,1.3,7.6,10.5,10.5,8.2,19.4,9.2,1.2,8.7,1.8,15006643
1995:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q3,Silent,63.8,52.4,54,46.9,69.6,73.2,78.4,81.1,81.1,81,89.1,92.4,77.5,71.2,46.7,62.3,46.2,73.6,65.5,48.2,29.9,29.8,29,24.3,39,68,46.1,69.5,41753636
1995:Q3,BabyBoom,32.9,41.6,41.4,42.1,28.5,24,20.7,18.3,18.1,18.7,10.6,7.2,22.5,27.6,44.2,37,48.6,25.4,33.1,43.9,58.9,59,62.1,55.5,50.8,30.8,44.6,28.5,41727420
1995:Q3,GenX,3.3,6.1,4.6,11,1.9,2.8,0.9,0.7,0.8,0.3,0.3,0.3,0,1.2,9.2,0.7,5.2,1,1.4,7.9,11.2,11.2,8.8,20.2,10.1,1.2,9.3,2,15529378
1995:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q4,Silent,63.2,52.1,53.7,46.6,68.7,72.3,77.4,80.9,80.7,81.3,87.8,90.5,78.1,69.5,45.4,61.7,45.1,73.2,64.5,47.7,29.6,29.5,28.7,24.2,38,70.1,44.9,68.8,41460467
1995:Q4,BabyBoom,33.4,41.7,41.6,42.3,29.2,24.6,21.7,18.3,18.3,18.2,11.7,8.9,21.9,28.8,45.4,37.5,49.6,25.8,33.9,44.1,58.8,58.9,62.4,54.7,51.6,28.6,45.6,29.1,41789886
1995:Q4,GenX,3.4,6.2,4.7,11.2,2.1,3,1,0.8,1,0.5,0.5,0.6,0,1.7,9.3,0.8,5.3,1,1.6,8.2,11.6,11.6,9,21.1,10.4,1.4,9.5,2.1,16044046
1995:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q1,Silent,62.7,52,53.8,46.1,67.9,71,74.6,80.5,80.5,80.6,87.8,90.1,78.7,69,44.2,61.2,44.1,72.8,63.6,47.2,29.2,29.2,28.2,24.2,36.4,66,43.7,68.2,41192149
1996:Q1,BabyBoom,33.7,41.7,41.5,42.5,29.8,25.5,23.9,18.5,18.4,18.7,11.4,8.9,21.3,29.2,46.5,37.9,50.5,26.2,34.5,44.4,58.9,59,62.5,54.1,54.4,32.8,46.5,29.6,41840260
1996:Q1,GenX,3.6,6.3,4.7,11.5,2.3,3.5,1.5,1,1.2,0.7,0.8,1,0,1.8,9.3,0.9,5.4,1.1,1.9,8.4,11.8,11.8,9.2,21.7,9.2,1.3,9.7,2.2,16550614
1996:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q2,Silent,62.4,51.8,53.5,46,67.5,70.6,76.3,79.9,79.7,80.3,90,92.7,79.3,68.4,43,60.8,43.6,72.4,62.7,46.7,29.1,29,28,24.1,35.6,66.8,42.6,67.9,40944558
1996:Q2,BabyBoom,34,41.9,41.7,42.5,30.2,25.8,22.9,19.1,19.1,18.9,8.7,5.6,20.6,29.6,47.6,38.2,51.3,26.5,35.2,44.7,58.6,58.6,62.3,53.5,55,31.8,47.4,29.9,41881500
1996:Q2,GenX,3.6,6.4,4.8,11.5,2.3,3.5,0.9,1,1.1,0.8,1.3,1.6,0.1,2,9.4,1,5.1,1.1,2.1,8.6,12.4,12.4,9.7,22.4,9.5,1.4,9.9,2.2,17049448
1996:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q3,Silent,62,51.5,53.2,45.8,67.1,70,75.7,79.1,79.1,79.1,92,95,79.9,68.8,41.9,60.7,42.9,72.2,61.9,46.2,28.9,28.9,27.8,24,34.6,67.8,41.6,67.6,40713566
1996:Q3,BabyBoom,34.3,42,41.8,42.6,30.5,26.3,23.5,19.8,19.8,20,6.2,2.7,20,29.4,48.6,38.3,52.2,26.7,35.8,44.9,58.2,58.2,62.1,52.8,56.1,30.6,48.3,30.2,41916562
1996:Q3,GenX,3.7,6.5,5,11.6,2.4,3.7,0.8,1.1,1.1,0.9,1.8,2.3,0.1,1.8,9.5,1,4.9,1.1,2.4,8.9,12.9,12.9,10.1,23.1,9.3,1.5,10.1,2.2,17540912
1996:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q4,Silent,61.4,51.3,53.1,45.2,66.3,69.6,74.6,78.4,78.6,78.1,87.7,89.3,80.6,68.1,40.8,65,40,72.1,60.8,45.8,28.7,28.6,27.5,23.9,33.3,67.1,40.5,66.9,40495050
